target_id	GRP1A	GRP1B	GRP1C	GRP1D	GRP1E	GRP2A	GRP2B	GRP2C	GRP2D	GRP2E	GRP3A	GRP3B	GRP3C	GRP3D	GRP3E	GRP4A	GRP4B	GRP4C	GRP4D	GRP4E
ENST00000330796.9	0	0	1.29048	0	0	0	6.3586	0	0	0	9.76271e-08	0	0.955135	0	0	0	6.42593	0	9.56366	7.44402
ENST00000525188.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.48815	0	0	0	0	0
ENST00000437750.2	1.43048	5.22019	12.9021	11.0519	0	0	0	2.3412	0	0.710328	4.01151	6.1335	8.40071	0	0	0	0	0	0	16.6456
ENST00000526583.1	0	0	0	0	0	0	6.52265	0	0	0	0	0	0	0	0	0	0	0	0	6.58097
ENST00000529592.1	4.09068	4.36172	0.818261	0.542929	0	0	1.6219	1.88738	1.51592	0.621556	2.60898	0.988716	1.36294	0	0	0.733777	2.19781	0	1.4362	3.50589
ENST00000574289.5	3.71958	0	0	0	2.89524	0	2.34742	0	4.99913	0	0	0	0	0	0	4.53819	0	0	0	0
ENST00000575239.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000573055.5	0	0	0	0.158573	1.68181	3.75537	7.82242	0.1918	5.2733	5.33684	0.579521	0	2.50408	6.04227	0	11.787	6.63499	0	0.984195	5.15288
ENST00000575273.5	0	0	0	0.158573	1.68181	3.75537	7.82242	0.1918	5.2733	5.33684	0.579521	0	2.50408	6.04227	0	11.787	6.63499	0	0.984195	5.15288
ENST00000571089.2	0	0	0	0.158573	1.68181	3.75537	7.82242	0.1918	5.2733	5.33684	0.579521	0	2.50408	6.04227	0	11.787	6.63499	0	0.984195	5.15288
ENST00000574017.2	0	0	0	1.67985	8.93976	0	0	2.00681	0	0	7.44289	0	0	0	0	0	0	0	15.4481	0
ENST00000574160.1	0	0	0	2.47235	0	0	0	0	0	0	0	0	0	0	0	0	2.44888	0	2.64771	2.41635
ENST00000570410.1	2.02488	0	1.85065	3.67705	0	1.77058	1.76633	1.7831	0	0	1.99773	0	3.69283	1.87121	5.33649	5.2247	0	1.7466	1.78936	0
ENST00000321535.5	0	0	0	0	0	0	0	0	0	0	1.27028	0	0	0	3.49427	2.22386	0	0	1.14835	0
ENST00000572251.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82099	0	0	0	0	0	0
ENST00000575022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000572540.1	7.28964	0	5.09869	0	3.36009	0	3.25583	3.20632	0	1.58327	8.00442e-08	0	1.66188	0	3.29011	0	0	0	3.297	0
ENST00000571432.5	0	0.669983	0	0	0	0	0	0	1.84659	0	0	0	0	0	0	0	0	0	0	0
ENST00000573306.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000615701.1	0	0	0	1.85192	0	1.63748	0	0	0	0	3.65705	0.954494	0	0	0	0	0	0	0	0
ENST00000572016.5	0	0	11.1217	4.95486	0	0	0	0	0	0	0	0	0	0	0	0	4.57016	0	0	0
ENST00000573079.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000571550.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000576463.5	0	0	6.00452	8.36379	6.9192	0	8.10192	6.96927	0	14.222	0	0.310711	0	4.72733	4.82104	0	13.252	2.21672	1.33785	0
ENST00000573887.2	0	15.1133	0	7.1368	0	6.52383	0	0	0	0	0	3.42947	0	8.94788	4.77496	4.67355	2.14019	13.7498	6.28366	1.88265
ENST00000575304.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000521788.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000332843.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000342526.8	0	0	0	0	0	0	0.808959	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000407277.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000418075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000498264.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000586725.1	0	0	27.6329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000591924.5	0	0	0	21.7038	0	0	0	9.87692	0	0	0	5.86103	0	0	0	33.2621	0	0	0	0
ENST00000589189.5	12.5219	0	10.9683	2.97404	0	2.79546	8.46037	13.1507	1.57555	2.05822	8.32763	0	0.62998	3.44234	0	16.6558	7.38513	9.32841	3.5815	4.6248
ENST00000269195.6	4.68705	20.3317	9.79539	15.1284	23.5614	21.3094	17.832	21.4671	10.6233	20.4028	11.7416	8.30383	8.79295	8.60921	9.80261	14.9741	9.50719	21.0056	6.87735	13.783
ENST00000591081.1	0	0	2.46163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000590654.1	15.6655	13.9016	4.76103	0	0.691842	8.92312	0	0	0	6.80863	0	0	3.95444	13.7156	0	4.55398	16.0321	9.66492	5.6822	5.27086
ENST00000644325.1	0	2.32278	5.76861	4.15548	1.94005	0	1.85189	0	0	0	0	0	1.91285	1.9485	3.76593	0	0	0	0	1.80743
ENST00000378292.9	15.0804	56.48	39.2054	22.145	22.6705	0	1.78903e-07	23.4882	2.13271	0	28.6011	48.2786	29.4571	43.424	18.9308	0	6.21501	12.3973	4.70437	0
ENST00000329305.6	15.4017	0	16.9089	23.0445	6.37171	1.97566	3.78879e-05	0	3.02785	0	9.1573	13.8163	19.564	15.0641	21.022	1.94015	3.92866	0	0	1.93881
ENST00000643485.1	2.70677	3.54404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000645482.3	0	0	5.86567	0	0	0	0	0	0	1.52637	0	0	9.33767	0	0	0	0	0	0	0
ENST00000647435.1	0	0	1.04916	3.95553	0	0	7.87575	0	0	0.0152385	0	0	0	20.9272	0	0	0	0	0	0
ENST00000607559.1	0	0	0	0	0	0	0	0	0	0	0	1.91356	0	0	0	0	0	6.95529	0	0
ENST00000471212.5	4.9922	0	2.29716	2.39836	1.63477	0	0	0	0	0	9.8534	2.12086	0	0	0	0	0	2.77669	0	0
ENST00000486018.1	0	18.9451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000604975.1	0	0	0	4.80936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000370536.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000573757.5	0	12.3004	4.78583	5.50396	3.88853	0	3.65551	8.92955	0	1.94571	12.334	6.47078	4.13271	15.7135	9.11851	0	0	11.6528	8.19782	5.87544
ENST00000571778.5	11.4854	14.8008	10.4439	17.5572	18.4691	0	4.88925	8.51735	4.46975	3.40818	13.0245	5.14643	9.50418	20.9158	5.9587	2.29077	3.71451	10.3538	7.02426	0
ENST00000570948.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79793	0	0	0	0	0
ENST00000573907.1	2.57697	0	6.14767	0	8.60963	0	0	3.81024	0	0	11.6518	4.71248	1.98993	2.43414	14.195	0	0	0	0	3.75405
ENST00000573374.5	0	0	0	0	0	0	0	0	0	0	0	20.604	0	0	0	0	0	0	0	0
ENST00000572455.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000573687.5	4.31678	0	0	0	1.81854	0	1.91748	0	0	3.02699	5.43316	5.23272	4.64755	2.14225	0	0	3.23793	10.6304	0	0
ENST00000573342.1	0	0	3.67657	3.51607	0	0	0	0	0	0	0	0	3.71222	3.70009	6.91638	0	0	0	0	3.50077
ENST00000574612.1	0	0	0	0	0	0	0	0	0	0	5.94329	0	0	0	0	2.73865	0	0	0	0
ENST00000571497.1	0	0	0	0	0	0	0	3.26819	7.09535	0	0	2.68758	0	0	0	0	0	2.60115	0	0
ENST00000477033.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000370167.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000342782.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000303004.5	19.1966	31.8405	17.5979	37.2904	27.3345	46.1633	40.7397	26.9277	47.0254	41.0234	17.0594	22.2142	23.4638	21.7136	22.5675	39.0027	69.4676	19.7049	58.0595	45.0201
ENST00000426595.1	0.293221	0.0286511	1.21567	0	0	3.07417	0	0	0	1.63196	0	0	0	0	1.2349	0.668421	0	0	0	0
ENST00000370150.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000340888.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000466074.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000438984.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000472324.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000370142.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000370145.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000447676.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000488994.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000473680.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000439087.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000433470.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000422811.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000466638.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000489536.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000411968.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000488168.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000475172.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000465303.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000463548.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
